Time,Days,235U,239Pu,238U,241Pu
18192.8,332.0186,46.658,36.956,7.714,7.783
18748.8,342.1656,46.061,37.243,7.688,8.077
18801.7,343.131025,46.004,37.266,7.68,8.111
18854.7,344.098275,45.947,37.29,7.671,8.144
19037.2,347.4289,45.751,37.373,7.649,8.233
19198.9,350.379925,45.579,37.456,7.643,8.277
19384.2,353.76165,45.382,37.55,7.653,8.323
19860.7,362.457775,44.874,37.789,7.737,8.442
20019.5,365.355875,44.704,37.869,7.775,8.482
20024.8,365.4526,44.698,37.872,7.776,8.483
