# Bin_center[MeV],N(antineutrino)/MeV/fission
2.00,1.32
2.25,1.12
2.50,9.15e-1
2.75,7.7e-1
3.00,6.51e-1
3.25,5.53e-1
3.50,4.54e-1
3.75,3.64e-1
4.00,2.94e-1
4.25,2.3e-1
4.50,1.79e-1
4.75,1.38e-1
5.00,1.1e-1
5.25,8.64e-2
5.50,6.46e-2
5.75,5.1e-2
6.00,3.89e-2
6.25,2.87e-2
6.50,2.17e-2
6.75,1.61e-2
7.00,1.14e-2
7.25,7.17e-3
7.50,4.64e-3
7.75,2.97e-3
8.00,1.62e-3
