# Bin_center[MeV],N(antineutrino)/MeV/fission
2.00,1.26
2.25,1.08
2.50,8.94e-1
2.75,7.77e-1
3.00,6.41e-1
3.25,5.36e-1
3.50,4.39e-1
3.75,3.46e-1
4.00,2.82e-1
4.25,2.2e-1
4.50,1.66e-1
4.75,1.25e-1
5.00,9.74e-2
5.25,7.47e-2
5.50,5.58e-2
5.75,4.11e-2
6.00,3.05e-2
6.25,1.98e-2
6.50,1.54e-2
6.75,1.09e-2
7.00,7.75e-3
7.25,4.47e-3
7.50,2.9e-3
7.75,1.78e-3
8.00,1.06e-3
