# Bin_center[MeV],N(antineutrino)/MeV/fission
2.00,1.08
2.25,9.2e-1
2.50,7.19e-1
2.75,6.2e-1
3.00,5.15e-1
3.25,3.98e-1
3.50,3.29e-1
3.75,2.61e-1
4.00,1.95e-1
4.25,1.57e-1
4.50,1.13e-1
4.75,8.33e-2
5.00,6.13e-2
5.25,4.83e-2
5.50,3.54e-2
5.75,2.92e-2
6.00,1.92e-2
6.25,1.28e-2
6.50,9.98e-3
6.75,7.54e-3
7.00,4.98e-3
7.25,3.26e-3
7.50,1.95e-3
7.75,8.47e-4
8.00,5.87e-4
