# Bin_center[MeV],N(antineutrino)/MeV/fission
2.00,1.27
2.25,1.07
2.50,9.06e-1
2.75,7.63e-1
3.00,6.39e-1
3.25,5.31e-1
3.50,4.33e-1
3.75,3.51e-1
4.00,2.82e-1
4.25,2.18e-1
4.50,1.65e-1
4.75,1.22e-1
5.00,9.59e-2
5.25,7.36e-2
5.50,5.52e-2
5.75,4.01e-2
6.00,2.81e-2
6.25,2.04e-2
6.50,1.50e-2
6.75,1.07e-2
7.00,7.20e-3
7.25,4.47e-3
7.50,2.54e-3
7.75,1.65e-3
8.00,9.63e-4
