# Bin_center[MeV],N(antineutrino)/MeV/fission,error
2.00,1.54,4.5
2.25,1.35,4.5
2.50,1.18,4.5
2.75,1.04,4.5
3.00,9.10e-1,4.5
3.25,7.55e-1,4.2
3.50,6.27e-1,3.9
3.75,5.13e-1,3.9
4.00,4.21e-1,3.9
4.25,3.32e-1,4.0
4.50,2.64e-1,4.1
4.75,2.06e-1,4.4
5.00,1.61e-1,4.7
5.25,1.27e-1,5.0
5.50,9.79e-2,5.8
5.75,7.34e-2,6.6
6.00,5.33e-2,8.1
6.25,3.77e-2,11
6.50,2.89e-2,13
6.75,2.66e-2,12
7.00,1.99e-2,14
7.25,1.08e-2,22
7.50,6.77e-3,30
7.75,4.70e-3,30
8.00,3.00e-3,30
