# Bin_center[MeV],N(antineutrino)/MeV/fission
2.00,1.13
2.25,9.19e-1
2.50,7.28e-1
2.75,6.13e-1
3.00,5.04e-1
3.25,4.10e-1
3.50,3.21e-1
3.75,2.54e-1
4.00,2.00e-1
4.25,1.51e-1
4.50,1.10e-1
4.75,7.97e-2
5.00,6.15e-2
5.25,4.68e-2
5.50,3.50e-2
5.75,2.55e-2
6.00,1.82e-2
6.25,1.32e-2
6.50,9.82e-3
6.75,7.32e-3
7.00,5.13e-3
7.25,3.15e-3
7.50,1.83e-3
7.75,1.03e-3
8.00,4.913e-4
