# Bin_center[MeV],N(antineutrino)/MeV/fission
0.05,0.81461
0.15,1.89852
0.25,2.29509
0.35,2.54886
0.45,2.63066
0.55,2.69104
0.65,2.61623
0.75,2.53747
0.85,2.57727
0.95,2.40176
1.05,2.26936
1.15,2.17254
1.25,1.98367
1.35,1.81715
1.45,1.75215
1.55,1.63733
1.65,1.56309
1.75,1.47289
1.85,1.38072
1.95,1.28361
2.05,1.21426
2.15,1.11763
2.25,1.03146
2.35,0.956964
2.45,0.890563
2.55,0.837115
2.65,0.777519
2.75,0.732015
2.85,0.68719
2.95,0.63477
3.05,0.59524
3.15,0.561115
3.25,0.520083
3.35,0.485342
3.45,0.443363
3.55,0.407865
3.65,0.37216
3.75,0.346135
3.85,0.320721
3.95,0.293713
4.05,0.263913
4.15,0.241389
4.25,0.217468
4.35,0.198352
4.45,0.178247
4.55,0.158257
4.65,0.142602
4.75,0.131038
4.85,0.120687
4.95,0.109744
5.05,0.100381
5.15,0.0912829
5.25,0.0822249
5.35,0.0722593
5.45,0.0647876
5.55,0.0582145
5.65,0.0520222
5.75,0.046625
5.85,0.0418173
5.95,0.0369819
6.05,0.0328659
6.15,0.029296
6.25,0.0257207
6.35,0.0230052
6.45,0.0203948
6.55,0.0183077
6.65,0.0161734
6.75,0.014329
6.85,0.0127193
6.95,0.0110011
7.05,0.00952083
7.15,0.00761159
7.25,0.00663064
7.35,0.00540415
7.45,0.00447216
7.55,0.00375163
7.65,0.00316409
7.75,0.00259961
7.85,0.00211567
7.95,0.00165224
8.05,0.00112955
8.15,0.000532037
8.25,0.000437719
8.35,0.000363362
8.45,0.000283145
8.55,0.000200826
8.65,0.000175214
8.75,0.000151641
8.85,0.000130246
8.95,0.000100634
9.05,7.78115e-05
9.15,6.58794e-05
9.25,5.67482e-05
9.35,4.88573e-05
9.45,4.15231e-05
9.55,3.21826e-05
9.65,2.75283e-05
9.75,2.32406e-05
9.85,1.81765e-05
9.95,1.35216e-05
10.05,1.22185e-05
