# Bin_center[MeV],N(antineutrino)/MeV/fission
2.00,1.31
2.25,1.11
2.50,9.27e-1
2.75,7.75e-1
3.00,6.51e-1
3.25,5.47e-1
3.50,4.49e-1
3.75,3.63e-1
4.00,2.88e-1
4.25,2.27e-1
4.50,1.77e-1
4.75,1.37e-1
5.00,1.09e-1
5.25,8.54e-2
5.50,6.56e-2
5.75,4.99e-2
6.00,3.68e-2
6.25,2.74e-2
6.50,2.07e-2
6.75,1.56e-2
7.00,1.11e-2
7.25,6.19e-3
7.50,4.30e-3
7.75,2.78e-3
8.00,1.49e-3
